Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1121229050;1195530726;1264245810;1326256983;1377094972;1393586592;1346423464;1266650838;1282296089;1458098883;1606588827;1595335196;1742107263;1863013966;1606810056;1477511732;1839933520;1911810056;2088122905;2184551397;2158564246;2142859777;2243516760;2367134078;2486899441;1315200705;2072291765;2871730318;3223287659
Africa Eastern and Southern;AFE;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;50162474892;42443864154;36842236332;37631102745;35574982850;33199124554;37834415133;47183417272;49562293737;48989141218;52444295254;51483374437;52156181373;54742068955;57966053312;66926971005;69886124384;71072293644;67114630251;66051801235;73784425073;71400087012;74717230186;91099924385;1,14E+11;1,43E+11;1,72E+11;2,13E+11;2,55E+11;1,96E+11;2,52E+11;2,98E+11;2,87E+11;2,82E+11;2,81E+11;2,17E+11;1,93E+11;2,24E+11;2,57E+11;2,42E+11;2,06E+11;2,82E+11;3,29E+11;3,03E+11
Afghanistan;AFG;Exports of goods and services (current US$);NE.EXP.GNFS.CD;22222233,33;24444455,56;26666680;68888922,22;71111144,44;113333340;120000000;113333340;122222228,9;142222222,2;171111104,4;199999988,9;235555544,4;224444437,8;302222222,2;300000006,7;337777777,8;344444451,1;357777771,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2079570875;2045190335;2664599571;2890867895
Africa Western and Central;AFW;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8725779779;9676099610;13749775665;24225651510;33245117539;44319670721;64168423019;41310610391;51572807438;67822781239;71632968361;67158241200;60770402473;26926846081;14838933358;21373167720;32444713330;28919814316;18583150428;31753057845;46344761974;34656621950
Albania;ALB;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;378073684,2;430536142,2;373589755,2;354685314,7;335069930,1;319090897,4;327312512,5;333550012,5;348287487,5;418924987,5;312500000;82300000;81519209,68;189399541,5;225407402,4;302465325,4;371808925,1;230303544,6;291949986,8;540977914,6;700083398,1;836717875,5;910729685;1169850311;1596261929;1853023824;2242665612;3016116355;3259293768;3040047645;3337086709;3769456465;3565050512;3694413338;3732057452;3104897778;3437126528;4110301306;4785182305;4821429218;3435540416;5613909458;7073859854;9104536341
Andorra;AND;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,83E+11;2,93E+11;3,53E+11;4,69E+11;6,31E+11;7,73E+11;8,99E+11;1,20E+12;8,45E+11;1,05E+12;1,36E+12;1,52E+12;1,51E+12;1,42E+12;1,04E+12;9,54E+11;1,09E+12;1,30E+12;1,25E+12;9,32E+11;1,28E+12;1,79E+12;1,73E+12
United Arab Emirates;ARE;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50787202178;54362695711;69538461538;93968596324;1,22E+11;1,52E+11;1,87E+11;2,49E+11;2,02E+11;2,38E+11;3,16E+11;3,76E+11;3,92E+11;4,03E+11;3,59E+11;3,61E+11;3,82E+11;4,00E+11;4,05E+11;3,50E+11;4,25E+11;5,22E+11;5,58E+11
Argentina;ARG;Exports of goods and services (current US$);NE.EXP.GNFS.CD;;;1147183934;1441753550;1424603255;1764705803;1904761830;1818181858;1714285705;2000000041;1769210603;2000000003;2500000047;4000000136;4999999840;3054054017;4695000304;5459999881;7665724160;4508960597;3895791555;5445263190;7663966256;9515669467;8873730059;10345475059;8641279278;8566904947;12094686105;10006623327;14643477445;14561091033;15095261860;16357317317;19385100000;24978532000;28381400000;30928400000;31137200000;27862300000;31223690400;31112418400;27736610298;33084505278;39266996606;46198180131;53550250227;65162321195;79762958392;65133480388;80208867996;97809980731;88655850854;80690471898;75818867911;63671789069;69842604407;72860557903;75766598613;80259482469;64053810078;87906118245;1,03E+11;82369725073
