Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24.03.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1141899441;1224022346;1321229050;1392737430;1458100559;1324284916;1316033520;1347128492;1432167598;1527994413;1816622905;1888111173;2005849162;2091921788;1906100559;1846245251;2233917877;2184788268;2328027933;2361241899;2162351955;2101055866;2203529050;2390329609;2448675978;1765708860;2234450998;2797735585;2971926878
Africa Eastern and Southern;AFE;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50677650607;54244789495;51102039411;51100820135;58723629024;70986777860;72315318020;75178458253;73178230282;68195844293;74239984947;69324176040;74034378945;92951072746;1,18841E+11;1,44716E+11;1,70453E+11;2,10788E+11;2,56461E+11;2,25802E+11;2,53937E+11;3,03716E+11;3,15997E+11;3,28828E+11;3,23495E+11;2,77564E+11;2,35393E+11;2,58183E+11;2,88265E+11;2,696E+11;2,26011E+11;2,85451E+11;3,57003E+11;3,43838E+11
Afghanistan;AFG;Imports of goods and services (current US$);NE.IMP.GNFS.CD;37777780;44444446,67;51111111,11;126666717,8;144444451,1;215555548,9;259999993,3;237777784,4;208888900;211111117,8;208888900;295555548,9;288888877,8;255555562,2;320000000;337777777,8;380000006,7;437777795,6;457777788,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7241822542;5286118076;7901784706;8702382078
Africa Western and Central;AFW;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7370215354;8831519472;10645433209;15181987450;16320510961;26207262175;43286269730;44777840385;35682251333;43947410303;45919732962;47727897154;47096036033;29985009889;13320025154;17134965573;20293075111;12080150067;13399763094;17769653735;26412539213;22211258771
Albania;ALB;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;371431589,5;403041958;460407913,8;405606072,3;372867132,9;362610722,6;336224987,5;335624987,5;408575012,5;483800000;487500000;314316659,7;627952433,9;764996711,8;773426124,2;836744255,2;1064684048;795638991,1;933614580,6;1097558436;1508343773;1771127106;2068787044;2591005964;3220867804;3853672286;4364190440;5867640023;6717539664;6004538203;5792187275;6700234587;5860879347;5999382677;6243003603;5070977347;5436220795;6070375897;6856194784;6926959712;5636282434;8016544325;9033376427;10320399921
Andorra;AND;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,74635E+11;1,78929E+11;1,77021E+11;1,77747E+11;1,64394E+11;1,77666E+11;1,83016E+11;1,96016E+11;2,00266E+11;2,08475E+11;2,28448E+11;2,29204E+11;2,3657E+11;2,70286E+11;3,46775E+11;4,24841E+11;5,0405E+11;6,59467E+11;8,5072E+11;7,63006E+11;7,93196E+11;9,05877E+11;1,00874E+12;1,06558E+12;1,11881E+12;1,044E+12;9,65856E+11;1,01309E+12;1,06208E+12;1,10029E+12;9,5678E+11;1,09954E+12;1,34692E+12;1,43519E+12
United Arab Emirates;ARE;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42053369639;47845064670;57668073519;78428046290;93862491491;1,1293E+11;1,66134E+11;2,19714E+11;1,8714E+11;1,78611E+11;2,15973E+11;2,39749E+11;2,52509E+11;2,75111E+11;2,68999E+11;2,70715E+11;2,85337E+11;2,81536E+11;3,06004E+11;2,97228E+11;3,47529E+11;4,27992E+11;4,81852E+11
Argentina;ARG;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;2294367227;1441753153;1424602864;1176470539;1428571371;1212121237;1428571475;2000000041;1495789482;2199999959;2374999979;3000000102;4555555490;3135135021;3030000057;4159999873;5089538172;4383512571;4989980080;5800000171;5497685333;6068376037;5561048223;5529993736;6695427336;8243255952;7882225528;5041767786;6546496033;11531201154;18606116034;22049649650;27299960000;26038017000;30148400000;37413700000;38667300000;32762700000;33070146000;27603881800;13065823829;18772898619;27736672324;34392237787;40480743016;52567536062;66316154417;48268743530;67937933972;88838309449;78013690407;81240190817;73691675720;70064879912;75639254068;89910495567;85681309473;65845624691;52454091268;73042905138;96814941605;89748037628
Armenia;ARM;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1045666607;1244415584;779688141,2;729847643,5;961398392,5;913101627,2;894135832,3;955405625,8;1000634291;919091316,9;957156467;968529888,7;1096735502;1391414379;1605180992;2098701566;2482540336;3570727480;4697073302;3684309605;4157364606;4757906587;5139736819;5471934334;5481836307;4427830382;4464568368;5646879066;6612701455;7458380122;5021765669;6073889076;9988144008;14514688647
American Samoa;ASM;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562000000;574000000;570000000;618000000;638000000;625000000;758000000;559000000;541000000;563000000;646000000;651000000;695000000;665000000;639000000;626000000;662000000;614000000;686000000;694000000;677000000;
Antigua and Barbuda;ATG;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;924222222,2;853392592,6;923581481,5;970770370,4;1132907407;1180425926;739748148,1;866970370,4;1175559259;
Australia;AUS;Imports of goods and services (current US$);NE.IMP.GNFS.CD;2611840418;2952320472;2512160402;2974720476;3270400523;3959200633;4124960660;4222400676;4730880757;4883200781;5455520873;5839680934;6220794393;7022421525;11737656595;14315171378;14038081937;16144757972;17265414582;20687265705;23827298050;29570416812;32610614587;27657830162;28996243475;31190673250;32912702854;32314716781;39231436371;50821263277;53060646565;52680239946;53341618614;55746908375;59676236596;73019750520;77631200583;82133225648;81674014787;80794585788;89663284608;83770437082;82017039226;98900407688;1,21992E+11;1,45653E+11;1,62451E+11;1,86601E+11;2,39715E+11;2,11106E+11;2,381E+11;2,85511E+11;3,35368E+11;3,35869E+11;3,14156E+11;2,9185E+11;2,61827E+11;2,77671E+11;3,11862E+11;3,06787E+11;2,74154E+11;2,84039E+11;3,43078E+11;3,87533E+11
Austria;AUT;Imports of goods and services (current US$);NE.IMP.GNFS.CD;;;;;;;;;;;4222755226;4883423835;6036690874;8127808701;10716325824;11418676622;13387942778;16661466156;18958762437;23982630983;28828885344;25143197684;23075815923;23074389459;22995356578;24397668263;31708294727;39047896169;44657532598;47283386375;59578839405;61623800825;67252992737;60542949249;68853045416;83696839088;85017444762;80519035968;84196219431;84520551775;82889700573;84769003460;89249970295;1,09675E+11;1,32416E+11;1,4355E+11;1,58881E+11;1,8748E+11;2,10949E+11;1,68155E+11;1,87355E+11;2,20839E+11;2,09539E+11;2,17964E+11;2,22087E+11;1,88716E+11;1,92553E+11;2,12567E+11;2,38401E+11;2,31731E+11;2,09749E+11;2,64636E+11;2,94485E+11;2,93448E+11
